"chi2","mu","eta","alpha","zeta","rho_mantle","rho_core","R_core"
2.176307752882168,87.996847,22.32699,0.059875,0.96365,3373.7599999999998,5237.8369999999995,425.983904
2.197550409580612,89.430939,25.466612,0.059686,-2.29254,3373.6220000000003,5069.527,440.214408
2.1705451136697316,89.21297,22.954333,0.057835,0.431502,3373.427,5045.496,442.599183
2.152270871850932,88.925724,26.258384,0.0575,-3.061118,3373.604,5326.5599999999995,419.207764
2.092128557305844,87.669569,27.159021,0.060599,-3.885701,3373.708,5271.606000000001,423.466767
2.1491209588421483,87.946518,23.428719,0.064097,-0.257936,3373.422,4986.286,448.437888
2.151851295255756,89.710457,22.043171,0.055823,0.786181,3373.973,5723.785999999999,393.055746
2.190535363005647,89.091632,27.90984,0.058766,-4.75323,3373.6890000000003,5206.817,428.796009
2.1113569864992363,89.445488,26.539437,0.061762,-3.556237,3373.453,4973.284,449.579834
2.1520845925146954,87.276841,25.66756,0.059952,-2.481184,3373.875,5576.162,402.062948
